Product Name,UNSPSC,ProductId,Price Varies with SKU,,Note the productId field? I think if you change that we might get it..
DRM615,24110000        ,126491,0,,
DRM616,24110000        ,126493,0,,
DRM978,24110000        ,127416,0,,
DRM0001,27112902        ,125519,0,,
DRM326,27112902        ,125991,0,,
DRM457,27112902        ,126235,0,,
DRM639,27112902        ,126519,0,,
FLM157,52101510        ,127751,1,,
FLM158,52101510        ,127754,1,,
FLM191,52101510        ,127777,0,,
FLM197,52101510        ,127793,0,,
FLM198,52101510        ,127796,0,,
FLM199,52101510        ,127799,0,,
FLM235,52101510        ,127845,0,,
FLM270,52101510        ,127919,1,,
FLM271,52101510        ,127922,1,,
FLM272,52101510        ,127925,1,,
FLM273,52101510        ,127928,1,,
FLM274,52101510        ,127931,1,,
FLM275,52101510        ,127934,0,,
FLM276,52101510        ,127938,0,,
FLM277,52101510        ,127942,0,,
FLM278,52101510        ,127946,0,,
FLM311,52101510        ,128084,0,,
FLM357,52101510        ,128191,1,,
FLM358,52101510        ,128194,1,,
FLM359,52101510        ,128197,1,,
FLM362,52101510        ,128214,1,,
FLM363,52101510        ,128217,1,,
FLM364,52101510        ,128220,1,,
FLM410,52101510        ,128432,1,,
FLM411,52101510        ,128435,1,,
FLM412,52101510        ,128438,1,,
FLM413,52101510        ,128441,1,,
FLM414,52101510        ,128444,1,,
FLM415,52101510        ,128447,0,,
FLM417,52101510        ,128451,1,,
FLM418,52101510        ,128455,1,,
FLM419,52101510        ,128459,0,,
FLM420,52101510        ,128461,0,,
FLM421,52101510        ,128463,0,,
FLM422,52101510        ,128465,1,,
FLM423,52101510        ,128468,1,,
FLM424,52101510        ,128471,1,,
FLM433,52101510        ,128497,0,,
FLM434,52101510        ,128502,0,,
FLM439,52101510        ,128530,0,,
FLM440,52101510        ,128533,1,,
FLM441,52101510        ,128536,1,,
FLM511,52101510        ,130085,0,,
FLM538,52101510        ,130256,0,,
FLM539,52101510        ,130258,0,,
