Product Name,ProductId,UNSPSC,Category Name,Cust Field 1,Cust Field 2,Cust Field 3,Cust Field 4,Cust Field 5,Configurable Product
NTA MOD F/ORION NPM SLX ANL MNT RNWL                                            ,2629543,4323270100,Application server software                                                     ,NONE  ,,,SOLARWINDS                              ,1,No
NTA MODULE F/NPM SL2000 ANLMNT RNWL                                             ,2657916,4323270100,Application server software                                                     ,NONE  ,,,SOLARWINDS                              ,1,No
NTA UPG MOD ORION NPM SL250 TO SL500 W/ MNT                                     ,2588817,4323270100,Application server software                                                     ,NONE  ,,,SOLARWINDS                              ,1,No
NTA UPG MOD ORION NPM SL500 TO SL2000 LICENSE W/ MNT NON RETURNABLE             ,2657141,4323270100,Application server software                                                     ,NONE  ,,,SOLARWINDS                              ,1,No
NUANCE 1 YR TECH SUPPPORT DRAGON NATURALLY SPEAKING PRO LEVEL B                 ,2356218,4323270300,Interactive voice response software                                             ,NONE  ,,,NUANCE COMMUNICATIONS                   ,1,No
NUANCE DNS PRO PER USER LICENSE LEVEL A W/ SUPPORT AND MAINT 1 YEAR GOVT        ,2562970,4323270300,Interactive voice response software                                             ,NONE  ,,,NUANCE COMMUNICATIONS                   ,1,No
NUANCE DRAGON NATURALLY SPEAKING V.11.0 LEGAL W/ HEADSET                        ,2594240,4323270300,Interactive voice response software                                             ,11,,,NUANCE COMMUNICATIONS                   ,1,No
NUANCE DRAGON NATURALLY SPEAKING V11.0 PREMIUM WITH BLUETOOTH HEADSET           ,2596050,4323270300,Interactive voice response software                                             ,11,,,NUANCE COMMUNICATIONS                   ,1,No
NUANCE DRAGON NATURALLYSPEAKING V.11.0 PROFESSIONAL WITH HEADSET ACAD           ,2599160,4323270300,Interactive voice response software                                             ,11,,,NUANCE COMMUNICATIONS                   ,1,No
NUANCE MACSPEECH SCRIBE LICENSE                                                 ,2629203,4323270300,Interactive voice response software                                             ,NONE  ,,,NUANCE COMMUNICATIONS                   ,1,No
NUANCE PDF CONVERTER PRO 7.0 ENT LA 1U LICENSE 1 YEAR ACAD                      ,2605958,4323220200,Document management software                                                    ,7,,,NUANCE COMMUNICATIONS                   ,1,No
NUANCE PDF CONVERTER PRO 7.0 ENT SUPPORT & MAINT 1 YEAR                         ,2605960,4323220200,Document management software                                                    ,7,,,NUANCE COMMUNICATIONS                   ,1,No
NUMERATION CONCEPTS GR.4 SITE WIN LICENSE                                       ,2618102,4323230300,Customer relationship management CRM software                                   ,4,,,ESSENTIAL SKILLS SOFTWARE               ,1,No
NUMERATION CONCEPTS GR.5 SITE WIN LICENSE                                       ,2618103,4323230300,Customer relationship management CRM software                                   ,4,,,ESSENTIAL SKILLS SOFTWARE               ,1,No
NUMERATION CONCEPTS GR.6 SITE WIN LICENSE                                       ,2618104,4323230300,Customer relationship management CRM software                                   ,4,,,ESSENTIAL SKILLS SOFTWARE               ,1,No
NVIVO 9 PERPETUAL WIN GOVERNMENT ONLY ELECTRONIC LICENSE                        ,2628992,4323260500,Analytical or scientific software                                               ,9,,,QSR INTERNATIONAL                       ,1,No
